gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
ABCB7	3861.64104516871	103.756129163334	-172.083546866388	56.2303559901202	0.0028741038660995	0.0110328503247045	-157.344175314458	70.7532328200995	0.0285282329263746	0.145874325988585	0.258683380428119	2.09795638676295e-05	3.61821463804046e-05	-0.0445622844934492	0.0146104016704987	-0.0731986717676265	-0.0159258972192718	-0.0407454171617818	0.0183547411680821	-0.0767207098512227	-0.00477012447234092	NPX
ABCD1	434.718507923999	19.8596262952862	34.7870376873127	11.2390181907561	0.00258435260414688	0.0100284117356569	27.6469519702211	14.1417719436032	0.0535240127379134	0.224800853499236	0.202139810848237	0.000368545700591881	0.000534840711834559	0.0800219844640119	0.0261107348607028	0.0288449441370344	0.131199024790989	0.0635973658040218	0.0326603552197252	-0.000416930426639608	0.127611662034683	NPX
ACOT9	2435.59208196775	90.3863836618557	-86.1356323194407	54.0186216988874	0.114133584556122	0.21221713378404	-43.1118383633424	67.9702635770934	0.527425788724778	0.786175850034216	0.0612838571071918	0.0953150788893706	0.102492419167185	-0.0353653770502696	0.0222176435981674	-0.0789119585026778	0.00818120440213854	-0.0177007630639494	0.027914810148661	-0.072413790955325	0.0370122648274262	NPX
ACSL4	12130.3698485709	550.577484151925	8.02107195613222	290.423185145534	0.978024308982435	0.98077156827733	-142.396738097414	365.432138444352	0.697655219080558	0.895909759754529	0.268051013436065	1.26089121807191e-05	2.26200082840037e-05	0.000661238862150374	0.0239418432379805	-0.0462647738842913	0.0475872516085921	-0.0117388620359494	0.0301301026485753	-0.070793863227157	0.0473161391552582	NPX
AIFM1	5055.14160006929	181.10443373902	-197.317797980284	93.2271708098101	0.0369137909308317	0.0948073623187548	-20.6581880591651	117.305387905149	0.860585490665281	0.972464204353446	0.306218618265128	1.42733907351794e-06	3.10707347101162e-06	-0.0390330901863519	0.0184949907246349	-0.0752832720066363	-0.00278290836606736	-0.00408656961436687	0.0232056254495031	-0.0495695954953929	0.0413964562666592	NPX
AKAP17A	2613.71864834705	263.006686476308	2400.03654372406	122.206922486714	3.24873234282095e-35	1.44974680798385e-33	2497.55535246611	153.769875482373	3.65639992532866e-29	6.52667386671165e-27	0.861799945995969	1.98537808812289e-38	1.01254282494267e-36	0.918245942516374	0.103555217817769	0.715277715593546	1.1212141694392	0.955556312094111	0.112723752307381	0.734617757571645	1.17649486661658	PAR1
ALG13	1659.29499938149	80.0098386483862	297.735793010911	44.5851733476058	1.62661268789574e-09	1.65914494165366e-08	-29.9413410920854	56.1003944336029	0.594788783043075	0.832704296260305	0.341105671900985	1.67346212393296e-07	4.07241885433227e-07	0.179435117397384	0.0282286202834323	0.124107021641857	0.234763213152912	-0.0180446159985091	0.0338209714562241	-0.0843337200527083	0.0482444880556901	NPX
AMER1	985.971181997314	42.200860364561	44.6887875205912	24.7322718428569	0.0739432367964793	0.158070272672713	7.05003260233642	31.1199912761553	0.82126545060435	0.959582596671481	0.114278448744255	0.0156385876567464	0.0184256626846815	0.0453246386269259	0.0251590771651144	-0.00398715261669837	0.0946364298705501	0.00715034346952711	0.0315642634911628	-0.054715612973152	0.0690162999122062	NPX
AMMECR1	1620.01165252915	63.7295085287482	-25.1771343057536	30.628776490768	0.413130023778711	0.560788663456273	-87.7001755626357	38.5394137363609	0.0251172121034833	0.145874325988585	0.402801566108012	2.56509107487461e-09	8.80516840125227e-09	-0.0155413291419523	0.0189163986472052	-0.0526174704904745	0.0215348122065699	-0.0541355214487001	0.0238847221082035	-0.100949576780779	-0.00732146611662114	NPX
AP1S2	5019.23284442396	257.069374925201	178.086329941628	122.318581225285	0.148711047922646	0.26024433386463	-13.4884144300295	153.910372845184	0.930348778550363	0.976642165740052	0.426284874198827	4.53363687248888e-10	1.78450630173168e-09	0.0354807866982044	0.0244376343565389	-0.0124169766406118	0.0833785500370206	-0.00268734582517212	0.0306644318026267	-0.0627896321583204	0.0574149405079761	NPX
APEX2	3038.16712484451	68.7248319010419	-82.4639489166146	36.6088072354406	0.0265878806657668	0.073014410751375	-117.185507206379	46.0639349686916	0.0125730873075014	0.0863190801688074	0.316220929182808	7.83885502308551e-07	1.78246576002645e-06	-0.0271426638259194	0.0120652680816114	-0.0507905892658777	-0.00349473838596109	-0.0385711194911229	0.015186835113855	-0.0683373163142787	-0.00880492266796707	NPX
APOO	986.50344201064	22.9123832339985	-24.3512510498253	12.9601416756271	0.0633193299923901	0.139537042020267	-7.52936951639176	16.3074180344551	0.645341688817082	0.868176891835791	0.168712282524382	0.00169994913323977	0.00224771052061704	-0.0246844055609111	0.0131499558270369	-0.0504583189819035	0.00108950786008133	-0.00763238038079806	0.0165314736603034	-0.0400340687549927	0.0247693079933966	NPX
APOOL	1793.7733576802	46.9053282391701	-42.2309395543018	23.7667772043338	0.0787871962105454	0.164532453254613	-105.661657717161	29.9051338251731	0.000635847521692002	0.00907990260976179	0.379937766291163	1.28230852311738e-08	3.78334002275129e-08	-0.0235430743652682	0.0132638932205374	-0.0495403050775216	0.00245415634698511	-0.058904686740251	0.0167426375525019	-0.0917202563431548	-0.0260891171373473	NPX
ARAF	4278.32060310836	105.190089256691	-119.932618384907	49.03926026405	0.0163006672367677	0.0489020017103032	-81.8241808550799	61.7048591938031	0.18800018719624	0.479400477350411	0.462003067139225	2.74487322673267e-11	1.30655965592475e-10	-0.0280326393252932	0.0114829719247695	-0.0505392642978414	-0.00552601435274503	-0.0191253036987531	0.014430345903219	-0.0474087816690624	0.00915817427155616	NPX
ARHGAP4	3140.630953266	112.343275806742	-57.537057530718	49.4146261998211	0.247188627579423	0.38201878807729	-0.236729902417859	62.1771726440507	0.996970169790472	0.996970169790472	0.492707705929702	2.06118411153883e-12	1.13206573510671e-11	-0.0183202223969945	0.0157476220978088	-0.0491855617086998	0.0125451169147108	-7.53765424656721e-05	0.0197976693683263	-0.0388788085043853	0.038728055419454	NPX
ARHGAP6	1438.0470350717	119.910623618247	-206.445725389165	72.5872261034122	0.00545377117832931	0.0192771911946888	-240.604289978775	91.3346682201745	0.00984403606406099	0.0732150182264536	0.108160444205736	0.0196322409385567	0.0226087419840799	-0.143559786539855	0.0518762792735091	-0.245237293915933	-0.0418822791637769	-0.167313226974372	0.0650272168632797	-0.294766572026401	-0.0398598819223442	NPX
ARHGEF6	3178.68362709813	159.144000663394	298.352749997156	85.6522570015669	0.000750646157629416	0.00343564972145771	26.521560039739	107.774065706851	0.806147493992208	0.951059765922237	0.300216481680566	2.03336348157027e-06	4.22041141232898e-06	0.093860473390215	0.0273525175895586	0.0402495389146801	0.14747140786575	0.00834356707086039	0.0339078240512366	-0.0581157680695633	0.0748029022112841	NPX
