gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	region
ENST00000019019	FTSJ1	452.932096071588	23.1616375230586	-4.8806070938287	20.0803768280386	0.808523205722569	0.937481208069	-29.3570118158948	20.5425636875722	0.156481172250774	0.547261180790545	0.261708616633476	1.92269798576809e-05	3.6040571643097e-05	-0.0107755823359829	0.0443376125584021	-0.0648154813282537	0.0454755695438384	NPX
ENST00000055335	PPP1R3F	192.360133556088	14.7796670783632	-26.7339950113315	8.89567676134783	0.00344677555211194	0.0200906647046525	-10.0135501878552	9.10042714730736	0.274151926786387	0.682326387977732	0.668232065565355	5.98830984995941e-20	7.74887294584748e-19	-0.138978875285177	0.0474617285872658	-0.0520562655199834	0.0474780898926281	NPX
ENST00000156084	OTUD5	230.450499211537	11.2977340338763	9.97053464418661	9.62655253748216	0.303132899947716	0.603568403380478	-0.952266582004308	9.84812537565827	0.923185853498977	0.97598243008797	0.300473804976807	2.33727143884712e-06	4.89389844962489e-06	0.0432654070106152	0.0418265716293447	-0.00413219578721848	0.0427347133599175	NPX
ENST00000156109	GPKOW	1339.55097915477	31.4278122914362	-41.4933038339449	24.6073266646176	0.095256650592185	0.3018374756675	-52.3217679935584	25.1737096130072	0.0405489887122758	0.306557215689347	0.396429743393302	6.13024142983312e-09	1.819388167478e-08	-0.0309755317114741	0.0183842016883441	-0.0390591838666507	0.0188149772525874	NPX
ENST00000168216	HSD17B10	2139.21556446745	70.0865207363427	-58.7628060524418	66.393950764374	0.37850779181668	0.676504257749702	-111.784974262129	67.9221298348468	0.103335990832971	0.48099558322973	0.131540209460867	0.00748718693801544	0.00994704301621352	-0.0274693242833948	0.031049632864588	-0.052255123849549	0.0317970743864852	NPX
ENST00000173898	TRO	646.537759763534	36.5720946587472	-138.740744344699	31.6927082608221	3.25882049119694e-05	0.000284926602406003	-111.463720407087	32.4221743174915	0.000893604829131092	0.0206486544445649	0.455238117041946	8.87058936394745e-11	3.35629901665146e-10	-0.214590319358057	0.0504996776721109	-0.172400944451959	0.0510868083687037	NPX
ENST00000200639	LAMP2	5129.38530240142	243.125034184539	-140.62339616345	248.805634310711	0.573363974854348	0.826650005763439	127.137180561216	254.532354269261	0.618664553836856	0.901604248875461	-0.0409517887654489	0.836309642934412	0.841512191257488	-0.0274152530708923	0.0485233382792881	0.0247860460982906	0.0496362944040829	NPX
ENST00000204961	EFNB1	1135.86974102711	65.2558897216363	120.404182746031	65.5695056881535	0.069654411429823	0.248985658536439	86.5545327635105	67.0787086366193	0.200273983468316	0.594391134422022	0.0480672838819854	0.132521136135934	0.147829612206809	0.106001752135026	0.058046587506983	0.0762011079591256	0.0592169709415073	NPX
ENST00000217901	IDH3G	2352.82377975358	82.9676078543987	14.6891735763432	44.9789904458103	0.744753425895722	0.911840052329788	-48.6543585697653	46.0142647594933	0.293201821443235	0.707841710723034	0.711294643514378	1.44598682400912e-22	2.5285229057673e-21	0.0062432102662111	0.0191182923781463	-0.0206791341486956	0.0195706282823674	NPX
ENST00000217909	SLC25A43	2639.62386857293	54.4027284039504	86.9747309157641	52.0643285806195	0.0983289383007445	0.307337309568028	124.754087252895	53.2626850022382	0.0213992767824475	0.199246329768932	0.184002723290251	0.000829364105036871	0.00128680713659198	0.0329496683036078	0.019735833747407	0.0472620696979608	0.0202016316836567	NPX
ENST00000217939	MXRA5	42582.0219961727	5547.46235070204	-1253.63448374501	5734.29027220743	0.827446076088141	0.942531005684907	-3639.69234140887	5866.2755250372	0.536551405615557	0.865323960641397	-0.0545959923797181	0.932639930513535	0.932639930513535	-0.0294404639558375	0.134719191582516	-0.0854748593605067	0.138213440140577	NPX
ENST00000217958	PSMD10	2860.24976498986	61.3827522172207	76.4684944795483	52.3879382250928	0.147904766896592	0.389001561715833	7.44989326601231	53.5937431187484	0.889758858794934	0.961058400067315	0.327271674646162	4.95467052863639e-07	1.14488279715277e-06	0.0267349010619775	0.0183248455592514	0.00260463032186937	0.0187375180475838	NPX
ENST00000217961	STS	2027.08849473247	222.452185835411	1608.42341778812	213.467169887199	3.87154491905758e-11	8.94603415225092e-10	-103.207035397593	218.380509995734	0.637654145273069	0.901604248875461	0.468083277161448	3.27943130895788e-11	1.3514599088508e-10	0.793464825027478	0.136644114966875	-0.0509139268787638	0.107875907968556	NPX
ENST00000217964	TBL1X	1206.10575619164	71.5073749570785	-113.008250243487	56.100020272841	0.0469856978929025	0.185783100930989	-57.1472253230549	57.3912655722555	0.322072297924237	0.717363713989847	0.4500058498021	1.32034468107877e-10	4.93793646623102e-10	-0.0936968003538242	0.0468438972631203	-0.0473816040008804	0.0476667893684269	NPX
ENST00000217971	PGRMC1	13657.9007930623	512.305955392795	-54.0569588306737	518.488004038956	0.917198531946761	0.980871818462074	-35.7893155681639	530.421960475372	0.946356274831527	0.983619813110048	-0.0267681023149671	0.704582720762243	0.713403787688844	-0.0039579258664796	0.0379627862815377	-0.00262041115325303	0.0388363971392668	NPX
ENST00000218056	WDR13	1904.05586631914	64.4624235591305	-52.950606446998	51.7588342236809	0.309068487529862	0.60662493983372	-78.1437209950928	52.9501591299726	0.143527499203932	0.515901622138577	0.394326429343597	7.06880173668908e-09	2.06946367585422e-08	-0.0278093764913319	0.0271997634592336	-0.0410406660736052	0.0278438307658516	NPX
